@relation whatever

@attribute hum_1 numeric
@attribute hum_2 numeric
@attribute hum_3 numeric
@attribute hum_4 numeric
@attribute hum_5 numeric
@attribute hum_6 numeric
@attribute hum_7 numeric
@attribute hum_8 numeric
@attribute hum_9 numeric
@attribute temp_1 numeric
@attribute temp_2 numeric
@attribute temp_3 numeric
@attribute temp_4 numeric
@attribute temp_5 numeric
@attribute temp_6 numeric
@attribute temp_7 numeric
@attribute temp_8 numeric
@attribute temp_9 numeric
@attribute vel.viento_1 numeric
@attribute vel.viento_2 numeric
@attribute vel.viento_3 numeric
@attribute vel.viento_4 numeric
@attribute vel.viento_5 numeric
@attribute vel.viento_6 numeric
@attribute vel.viento_7 numeric
@attribute vel.viento_8 numeric
@attribute vel.viento_9 numeric
@attribute dir.viento_1 numeric
@attribute dir.viento_2 numeric
@attribute dir.viento_3 numeric
@attribute dir.viento_4 numeric
@attribute dir.viento_5 numeric
@attribute dir.viento_6 numeric
@attribute dir.viento_7 numeric
@attribute dir.viento_8 numeric
@attribute dir.viento_9 numeric
@attribute rad.solar_1 numeric
@attribute rad.solar_2 numeric
@attribute rad.solar_3 numeric
@attribute rad.solar_4 numeric
@attribute rad.solar_5 numeric
@attribute rad.solar_6 numeric
@attribute rad.solar_7 numeric
@attribute rad.solar_8 numeric
@attribute rad.solar_9 numeric
@attribute p.rocio_1 numeric
@attribute p.rocio_2 numeric
@attribute p.rocio_3 numeric
@attribute p.rocio_4 numeric
@attribute p.rocio_5 numeric
@attribute p.rocio_6 numeric
@attribute p.rocio_7 numeric
@attribute p.rocio_8 numeric
@attribute p.rocio_9 numeric
@attribute min numeric
@attribute max numeric
@attribute class {1,2}



@data
96.2 , 96.9 , 97.2 , 97.3 , 96.2 , 92.8 , 89.3 , 83.9 , 78.9 , -1.1 , -1.1 , -0.7 , -0.2 , 0.7 , 1.6 , 3.4 , 5.5 , 7.5 , 0.9 , 1.1 , 2.4 , 2.2 , 2 , 2.2 , 2.4 , 2.4 , 2.6 , 153 , 140 , 190 , 187 , 188 , 187 , 171 , 153 , 177 , 1 , 3 , 56 , 93 , 164 , 292 , 316 , 551 , 486 , -1.63627788 , -1.536113462 , -1.09465527 , -0.581927168 , 0.155896066 , 0.545353217 , 1.783809537 , 2.961708583 , 4.033789484 , -1.4 , 8.3 , 1 
94.8 , 95.4 , 96.2 , 96.1 , 95 , 93.7 , 92.8 , 91.8 , 89.3 , 1.2 , 1 , 0.8 , 0.9 , 1.2 , 1.3 , 1.9 , 2.4 , 3.6 , 1.9 , 2 , 2 , 2.4 , 2 , 2.4 , 2.2 , 2.2 , 2.6 , 195 , 183 , 183 , 199 , 199 , 192 , 178 , 178 , 171 , 1 , 1 , 16 , 63 , 93 , 158 , 148 , 147 , 294 , 0.447693673 , 0.337371866 , 0.255461286 , 0.340432415 , 0.47728865 , 0.38320891 , 0.842843038 , 1.185594382 , 1.981281166 , -1.4 , 8.3 , 1 
97 , 97.3 , 97.3 , 96.9 , 92.1 , 80.8 , 69.8 , 63.2 , 61.3 , 0.5 , 0.3 , 2.6 , 6.1 , 8.2 , 11.2 , 13.4 , 15.4 , 16.6 , 0 , 0 , 0.2 , 0.2 , 2.2 , 2.2 , 1.7 , 1.5 , 1.7 , 115 , 115 , 115 , 192 , 192 , 190 , 204 , 213 , 234 , 1 , 57 , 99 , 193 , 549 , 631 , 654 , 643 , 558 , 0.072671786 , -0.083464167 , 2.209465638 , 5.638429235 , 6.978244058 , 7.989638159 , 7.947924044 , 8.384027782 , 9.067348107 , -1.9 , 14.9 , 1 
95.6 , 94.1 , 88 , 81.7 , 75.2 , 68.5 , 61.9 , 55.1 , 47.7 , 0.5 , 3.4 , 6.4 , 8.7 , 11.2 , 13.4 , 15.6 , 17.4 , 19.1 , 0.2 , 1.1 , 2.2 , 2.2 , 2.2 , 2.2 , 2.6 , 2.6 , 2.4 , 149 , 153 , 174 , 206 , 206 , 175 , 190 , 199 , 194 , 42 , 202 , 444 , 623 , 747 , 816 , 828 , 824 , 764 , -0.130718769 , 2.528685258 , 4.533247074 , 5.710475675 , 6.927177412 , 7.66951876 , 8.265194958 , 8.234662942 , 7.68244618 , -0.3 , 20.2 , 1 
97.4 , 97.7 , 97.7 , 96.5 , 89.4 , 85.5 , 84.7 , 84 , 82.7 , 0.2 , 1.9 , 6.1 , 7.4 , 9.6 , 10.9 , 11.7 , 12.7 , 13.2 , 0 , 0 , 0.4 , 0.6 , 0.6 , 1.5 , 1.9 , 2.2 , 2 , 108 , 108 , 142 , 181 , 59 , 8 , 41 , 24 , 355 , 1 , 24 , 288 , 288 , 636 , 636 , 376 , 323 , 213 , -0.168800831 , 1.569746071 , 5.758767619 , 6.87273482 , 7.922071603 , 8.53795189 , 9.182880548 , 10.03904714 , 10.29326032 , -0.3 , 19.9 , 1 
97.8 , 97.8 , 97.9 , 97.8 , 89.9 , 80.3 , 74.2 , 69.2 , 71.8 , 0.7 , 1 , 3 , 6.2 , 9.8 , 13.3 , 15.5 , 16.8 , 16.1 , 0 , 0 , 0 , 0 , 0.6 , 0.9 , 1.3 , 1.3 , 2.2 , 98 , 98 , 98 , 98 , 336 , 333 , 209 , 229 , 215 , 1 , 28 , 254 , 377 , 429 , 519 , 519 , 579 , 418 , 0.387244674 , 0.686494928 , 2.696109395 , 5.873499323 , 8.202656055 , 9.946311762 , 10.88851066 , 11.08236467 , 10.96893263 , -0.5 , 18.3 , 1 
97.9 , 97.9 , 98.1 , 98 , 94.5 , 80.5 , 65.9 , 57.8 , 62.3 , 0.9 , 0.8 , 3.6 , 6.1 , 8.9 , 13 , 15.9 , 17.4 , 18.1 , 0 , 0 , 0 , 0.2 , 0.6 , 0.6 , 0.6 , 1.3 , 1.7 , 121 , 121 , 121 , 272 , 344 , 46 , 46 , 227 , 205 , 1 , 32 , 182 , 348 , 473 , 562 , 562 , 548 , 548 , 0.601116834 , 0.501355283 , 3.324002519 , 5.803672311 , 8.054367397 , 9.691045141 , 9.484265643 , 8.945369951 , 10.73157939 , -0.5 , 14.8 , 1 
97.5 , 97.5 , 97.7 , 97.9 , 97.8 , 91.6 , 78.8 , 72.1 , 75.8 , 0.9 , 0 , 0.9 , 3.2 , 6.6 , 10.2 , 13.2 , 13.8 , 14.1 , 0 , 0 , 0 , 0 , 0.4 , 0.7 , 1.5 , 2 , 2.2 , 175 , 175 , 44 , 69 , 293 , 341 , 208 , 188 , 183 , 1 , 33 , 94 , 293 , 389 , 447 , 447 , 519 , 403 , 0.543551588 , -0.353889036 , 0.572359989 , 2.895632496 , 6.272499661 , 8.878236177 , 9.564985376 , 8.815135086 , 9.855415914 , -0.5 , 18.9 , 1 
98.5 , 98.5 , 98.5 , 98.5 , 98.6 , 98.5 , 98.1 , 92.9 , 86 , 5 , 4.8 , 4.8 , 5.1 , 5.4 , 5.8 , 6.6 , 8.2 , 10.4 , 1.1 , 1.1 , 1.1 , 0.7 , 0.9 , 1.3 , 1.3 , 1.3 , 1.1 , 192 , 194 , 164 , 175 , 149 , 194 , 204 , 209 , 247 , 1 , 8 , 32 , 64 , 109 , 163 , 183 , 387 , 387 , 4.780115418 , 4.580455154 , 4.580455154 , 4.87994555 , 5.194231335 , 5.578756475 , 6.317536073 , 7.10605257 , 8.133449378 , -0.3 , 14.4 , 1 
97.8 , 97.9 , 97.8 , 97.2 , 94.3 , 88.9 , 81.8 , 74.8 , 71.2 , 1.5 , 2.7 , 3.5 , 4.8 , 6.4 , 8.2 , 10.6 , 12.7 , 13.7 , 0 , 0 , 0.4 , 0.6 , 0.6 , 0.6 , 0.9 , 0.6 , 0 , 240 , 240 , 81 , 73 , 66 , 70 , 70 , 6 , 6 , 1 , 7 , 94 , 127 , 148 , 509 , 509 , 318 , 277 , 1.18524535 , 2.396824743 , 3.180247041 , 4.387803708 , 5.539259085 , 6.45709593 , 7.585936366 , 8.300546819 , 8.531492152 , -1 , 15.8 , 1 
97.6 , 97.6 , 97.6 , 97.7 , 94.7 , 82.4 , 72 , 66.8 , 63.9 , -0.8 , -1.1 , 0 , 2.6 , 5.6 , 9.1 , 11.4 , 11.9 , 11.8 , 0 , 0 , 0 , 0 , 0.6 , 1.9 , 2 , 2.4 , 3.2 , 74 , 74 , 74 , 74 , 74 , 355 , 355 , 341 , 330 , 1 , 11 , 123 , 244 , 432 , 523 , 531 , 571 , 492 , -1.137398824 , -1.436580189 , -0.33958185 , 2.267916329 , 4.806011417 , 6.226537495 , 6.481315709 , 5.864786248 , 5.124170825 , -1.4 , 12.8 , 1 
97.7 , 97.7 , 97.8 , 98.1 , 97.9 , 94.6 , 82.9 , 73.6 , 67.6 , 1.8 , 0.7 , 1.3 , 3.3 , 4.2 , 6.3 , 9.3 , 11 , 12.1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.5 , 145 , 160 , 97 , 195 , 198 , 194 , 220 , 218 , 184 , 1 , 17 , 144 , 184 , 341 , 518 , 568 , 429 , 341 , 1.470007463 , 0.372882772 , 0.985745181 , 3.024649164 , 3.893248001 , 5.486303848 , 6.511115714 , 6.41767091 , 6.229942727 , -0.8 , 9.8 , 1 
86.4 , 89.3 , 92.7 , 93.8 , 94.8 , 95.3 , 95.6 , 96 , 94.8 , 4 , 3.8 , 3.6 , 3.2 , 3.5 , 4.4 , 5.1 , 5.5 , 5.8 , 2.2 , 2.8 , 2.8 , 3 , 2 , 2.2 , 2 , 1.7 , 1.3 , 21 , 355 , 6 , 59 , 65 , 42 , 355 , 6 , 355 , 1 , 1 , 7 , 22 , 66 , 111 , 133 , 153 , 153 , 1.906844886 , 2.178752796 , 2.513233123 , 2.284550448 , 2.733922236 , 3.704300561 , 4.44606046 , 4.904753456 , 5.020150799 , -0.9 , 6.3 , 1 
98 , 98 , 98.1 , 98.2 , 98.2 , 98.3 , 95.2 , 90.5 , 88.1 , 0.5 , 1.4 , 1.7 , 2.4 , 3.3 , 4.3 , 5.9 , 6.5 , 7.1 , 0 , 0 , 0 , 0.2 , 1.5 , 1.7 , 2.2 , 2.2 , 2 , 187 , 187 , 132 , 39 , 39 , 190 , 190 , 198 , 202 , 1 , 2 , 24 , 61 , 197 , 244 , 504 , 228 , 238 , 0.216383959 , 1.114341016 , 1.428097935 , 2.141094173 , 3.039257157 , 4.051925262 , 5.180899618 , 5.038657626 , 5.239802156 , -0.6 , 7.5 , 1 
94 , 94.4 , 93.2 , 91.2 , 88.7 , 84.5 , 77.4 , 71.2 , 65.1 , 1.1 , 0.8 , 0.8 , 1.1 , 2.1 , 4 , 6.2 , 8 , 9.6 , 2.8 , 2.8 , 2.2 , 2.2 , 2.2 , 2.4 , 2.4 , 2.6 , 3.2 , 183 , 183 , 191 , 202 , 175 , 175 , 175 , 199 , 195 , 1 , 16 , 49 , 173 , 482 , 533 , 543 , 498 , 498 , 0.229458177 , -0.009076553 , -0.187898004 , -0.193551776 , 0.405656835 , 1.591788658 , 2.494393244 , 3.04475078 , 3.297568452 , -0.5 , 10.9 , 1 
98.4 , 98.4 , 98.3 , 98.7 , 99 , 92.5 , 85.2 , 80.2 , 77.9 , -0.9 , -1.2 , -0.3 , 3.5 , 8 , 11.3 , 13.3 , 14.5 , 15.6 , 0 , 0 , 0 , 0.2 , 1.9 , 3 , 2 , 2.8 , 2.8 , 39 , 39 , 39 , 39 , 70 , 205 , 208 , 208 , 194 , 1 , 3 , 156 , 287 , 431 , 493 , 512 , 512 , 389 , -1.123952408 , -1.42340859 , -0.539211102 , 3.311808284 , 7.850344021 , 10.11521218 , 10.84266631 , 11.09814536 , 11.72606257 , -1.1 , 12.8 , 1 
97 , 97.5 , 97.7 , 97.7 , 93 , 82.5 , 71 , 64.1 , 55 , -0.2 , 0.7 , 1.5 , 2.9 , 5.2 , 8.4 , 11.2 , 13.3 , 14.5 , 1.5 , 1.9 , 2 , 3 , 2.2 , 1.7 , 1.5 , 2 , 2.6 , 180 , 146 , 167 , 178 , 177 , 183 , 187 , 215 , 187 , 1 , 26 , 111 , 413 , 552 , 638 , 657 , 656 , 579 , -0.624934112 , 0.344120339 , 1.170791638 , 2.567132154 , 4.14634271 , 5.559293452 , 6.083892835 , 6.596470768 , 5.495694568 , -1.4 , 13.9 , 1 
91.6 , 92.8 , 90 , 78.1 , 72.9 , 67.8 , 60.8 , 56.6 , 58.4 , 1.4 , 1.5 , 3.2 , 5.2 , 7.1 , 8.8 , 9.6 , 10.7 , 10.9 , 0.6 , 0.2 , 0.7 , 2.6 , 2.6 , 1.3 , 1.3 , 1.3 , 1.5 , 131 , 131 , 131 , 174 , 178 , 191 , 215 , 215 , 211 , 1 , 48 , 139 , 309 , 567 , 567 , 298 , 394 , 282 , 0.164623118 , 0.446189943 , 1.696942403 , 1.650003272 , 2.513589805 , 3.113986145 , 2.325074022 , 2.34726654 , 2.979726255 , -1 , 16.7 , 1 
91.6 , 92.8 , 90 , 78.1 , 72.9 , 67.8 , 60.8 , 56.6 , 58.4 , 1.4 , 1.5 , 3.2 , 5.2 , 7.1 , 8.8 , 9.6 , 10.7 , 10.9 , 0.6 , 0.2 , 0.7 , 2.6 , 2.6 , 1.3 , 1.3 , 1.3 , 1.5 , 131 , 131 , 131 , 174 , 178 , 191 , 215 , 215 , 211 , 1 , 48 , 139 , 309 , 567 , 567 , 298 , 394 , 282 , 0.164623118 , 0.446189943 , 1.696942403 , 1.650003272 , 2.513589805 , 3.113986145 , 2.325074022 , 2.34726654 , 2.979726255 , -0.2 , 12.4 , 1 
93 , 91.3 , 85.1 , 73.4 , 63.2 , 56.3 , 54 , 50.3 , 45.7 , -0.2 , 2.1 , 5.7 , 9 , 12.8 , 15.4 , 16.4 , 17.8 , 19.6 , 0 , 1.3 , 1.9 , 2 , 1.1 , 1.7 , 2 , 2.2 , 1.9 , 292 , 340 , 338 , 345 , 8 , 352 , 337 , 344 , 352 , 13 , 29 , 408 , 603 , 724 , 789 , 801 , 799 , 747 , -1.209769953 , 0.811568504 , 3.361396223 , 4.446026427 , 5.914469344 , 6.6789365 , 7.003067075 , 7.262673496 , 7.511600722 , -1.9 , 18 , 1 
93 , 91.3 , 85.1 , 73.4 , 63.2 , 56.3 , 54 , 50.3 , 45.7 , -0.2 , 2.1 , 5.7 , 9 , 12.8 , 15.4 , 16.4 , 17.8 , 19.6 , 0 , 1.3 , 1.9 , 2 , 1.1 , 1.7 , 2 , 2.2 , 1.9 , 292 , 340 , 338 , 345 , 8 , 352 , 337 , 344 , 352 , 13 , 29 , 408 , 603 , 724 , 789 , 801 , 799 , 747 , -1.209769953 , 0.811568504 , 3.361396223 , 4.446026427 , 5.914469344 , 6.6789365 , 7.003067075 , 7.262673496 , 7.511600722 , -0.7 , 20.3 , 1 
83 , 85.2 , 85.7 , 86.3 , 86.8 , 87.9 , 88.5 , 87.2 , 82.8 , 1.4 , 2.3 , 2.3 , 2.5 , 2.6 , 3 , 3.6 , 4.9 , 6.5 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , 1 , 2 , 23 , 61 , 74 , 87 , 248 , 551 , 412 , -1.207477493 , 0.03890414 , 0.120713768 , 0.415051015 , 0.594499203 , 1.165712433 , 1.853544196 , 2.923939669 , 3.752134904 , 0 , 15.1 , 1 
82.6 , 82.9 , 82.1 , 84.8 , 83.6 , 73 , 58.3 , 43.1 , 33.3 , 0.6 , 0.1 , 1.9 , 5.4 , 9.7 , 13.6 , 16 , 17.6 , 18.3 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , -888 , 1 , 44 , 178 , 348 , 506 , 576 , 589 , 584 , 641 , -2.057276085 , -2.497042781 , -0.869133353 , 3.016241853 , 7.026794041 , 8.807427309 , 7.755962768 , 4.833790994 , 1.801437384 , -1.6 , 9.4 , 1 
86.9 , 87.3 , 86 , 84.9 , 87.3 , 78.3 , 68.1 , 58.8 , 51 , 0.6 , 0 , 3.2 , 7.7 , 10.5 , 13.6 , 16.3 , 19.1 , 20.5 , 0 , 0 , 0 , 0.8 , 1.3 , 1.3 , 0.8 , 0.8 , 1 , 105 , 105 , 105 , 190 , 190 , 190 , 170 , 191 , 194 , 1 , 51 , 208 , 314 , 462 , 521 , 532 , 526 , 436 , -1.358014642 , -1.88542596 , 1.054471527 , 5.291181643 , 8.455491224 , 9.858506175 , 10.36054456 , 10.8029747 , 9.969650869 , -0.2 , 15.8 , 1 
