
@relation dataset

@attribute gramos numeric
@attribute textura numeric
@attribute color numeric
@attribute forma numeric
@attribute class {1,2,3}

@data
144,2,2,1,2
155,2,2,1,2
155,2,2,1,2
149,2,2,1,2
170,2,3,1,2
142,2,3,1,2
138,2,3,1,2
149,2,2,1,2
111,1,3,2,3
89,1,3,2,3
108,1,3,2,3
115,1,3,2,3
118,1,3,2,3
81,1,3,2,3
96,1,3,2,3
113,1,3,2,3
118,1,3,2,3
96,1,3,2,3
102,1,3,2,3
176,2,2,1,2
130,2,3,1,2
135,2,3,1,2
154,2,2,1,2
141,2,3,1,2
135,2,2,1,2
140,2,3,1,2
169,2,3,1,2
140,2,3,1,2
144,2,2,1,2
139,2,2,1,2
135,2,3,1,2
160,2,2,1,2
170,2,2,1,2
164,2,2,1,2
132,2,3,1,2
141,2,2,1,2
153,2,3,1,2
177,2,1,1,1
143,1,1,1,1
171,1,1,1,1
155,1,1,1,1
138,1,1,1,1
179,1,1,1,1
104,1,1,1,1
169,2,2,1,2
151,2,3,1,2
149,2,3,1,2
141,2,2,1,2
162,2,2,1,2
137,2,3,1,2
160,2,2,1,2
173,1,1,1,1
137,1,1,1,1
139,1,1,1,1
103,1,1,1,1
177,1,1,1,1
155,2,1,1,1
100,1,1,1,1
178,2,1,1,1
114,2,1,1,1
111,1,1,1,1
160,2,2,1,2
139,2,2,1,2
159,2,3,1,2
158,2,2,1,2
139,2,3,1,2
131,2,3,1,2
136,2,3,1,2
160,2,2,1,2
154,2,3,1,2
140,2,2,1,2
158,2,2,1,2
158,2,2,1,2
169,2,3,1,2
143,2,3,1,2
153,2,3,1,2
161,2,2,1,2
168,2,3,1,2
133,2,3,1,2
139,2,2,1,2
147,2,2,1,2
148,2,2,1,2
142,2,2,1,2
154,2,3,1,2
165,2,2,1,2
148,2,3,1,2
163,2,3,1,2
130,2,3,1,2
132,2,3,1,2
144,2,3,1,2
150,2,2,1,2
150,2,2,1,2
160,2,2,1,2
152,1,1,1,1
108,1,1,1,1
175,1,1,1,1
105,1,1,1,1
133,1,1,1,1
112,1,1,1,1
161,1,1,1,1
138,1,1,1,1
174,1,1,1,1
148,1,1,1,1
103,1,1,1,1
113,1,1,1,1
136,1,1,1,1
103,1,1,1,1
147,1,1,1,1
117,1,1,1,1
115,1,1,1,1
148,1,1,1,1
107,1,1,1,1

153,1,1,1,1
142,1,1,1,1
131,1,1,1,1
136,1,1,1,1
143,1,1,1,1
146,1,1,1,1
136,1,1,1,1
176,1,1,1,1
164,1,1,1,1
169,1,1,1,1
129,1,1,1,1
135,1,1,1,1
142,1,1,1,1
129,1,1,1,1
114,1,1,1,1
149,1,1,1,1
141,1,1,1,1
146,1,1,1,1
157,1,1,1,1
108,1,1,1,1
137,1,1,1,1
176,1,1,1,1
143,1,1,1,1
158,1,1,1,1
151,1,1,1,1
122,1,1,1,1
175,1,1,1,1
134,1,1,1,1
101,1,3,2,3
97,1,3,2,3
114,1,3,2,3
94,1,3,2,3
80,1,3,2,3
118,1,3,2,3
107,1,3,2,3
118,1,3,2,3
117,1,3,2,3
112,1,3,2,3
136,2,3,1,2
145,2,3,1,2
156,2,2,1,2
147,2,2,1,2
149,2,2,1,2
165,2,2,1,2
144,2,3,1,2
141,2,2,1,2
130,2,2,1,2
141,2,3,1,2
166,2,2,1,2
161,2,2,1,2
115,1,3,2,3
86,1,3,2,3
81,1,3,2,3
95,1,3,2,3
94,1,3,2,3
95,1,3,2,3
82,1,3,2,3
166,1,1,1,1
115,1,1,1,1
163,1,1,1,1
161,1,1,1,1
160,1,1,1,1
162,1,1,1,1
150,1,1,1,1
168,1,1,1,1
101,1,1,1,1
112,1,1,1,1
167,1,1,1,1
171,1,1,1,1
171,1,1,1,1
150,1,1,1,1
178,1,1,1,1
152,1,1,1,1
112,1,1,1,1
105,1,1,1,1
162,1,1,1,1
123,1,1,1,1
124,1,1,1,1
130,1,1,1,1
150,1,1,1,1
143,1,1,1,1
117,1,1,1,1
113,1,1,1,1
156,1,1,1,1
87,1,3,2,3
108,1,3,2,3
108,1,3,2,3
115,1,3,2,3
109,1,3,2,3
90,1,3,2,3
84,1,3,2,3
139,1,1,1,1
167,1,1,1,1
128,1,1,1,1
164,1,1,1,1
112,1,1,1,1
146,1,1,1,1
105,1,1,1,1
112,1,1,1,1
159,1,1,1,1
118,1,3,2,3
87,1,3,2,3
99,1,3,2,3
83,1,3,2,3
112,1,3,2,3
91,1,3,2,3
110,1,3,2,3
112,1,3,2,3
92,1,3,2,3
98,1,3,2,3
92,1,3,2,3
120,1,3,2,3
81,1,3,2,3
82,1,3,2,3
102,1,3,2,3
91,1,3,2,3
87,1,3,2,3
114,1,3,2,3
90,1,3,2,3
80,1,3,2,3
89,1,3,2,3
100,1,3,2,3
118,1,3,2,3
86,1,3,2,3
101,1,3,2,3
117,1,3,2,3
82,1,3,2,3
92,1,3,2,3
91,1,3,2,3
103,1,3,2,3
109,1,3,2,3
104,1,3,2,3
85,1,3,2,3
102,1,3,2,3
84,1,3,2,3
106,1,3,2,3
117,1,3,2,3
130,2,2,1,2
134,2,2,1,2
154,2,3,1,2
160,2,3,1,2
151,2,2,1,2
161,2,3,1,2
141,2,2,1,2
153,2,3,1,2
134,2,2,1,2
130,2,3,1,2
159,2,3,1,2
148,2,2,1,2
161,2,2,1,2
132,2,3,1,2
115,1,3,2,3
111,1,3,2,3
92,1,3,2,3
117,1,3,2,3
88,1,3,2,3
108,1,3,2,3
97,1,3,2,3
110,1,3,2,3
109,1,3,2,3
98,1,3,2,3
93,1,3,2,3
100,1,3,2,3
117,1,3,2,3
105,1,3,2,3
86,1,3,2,3
92,1,3,2,3
96,1,3,2,3
94,1,3,2,3
96,1,3,2,3
109,1,3,2,3
110,1,3,2,3
89,1,3,2,3
90,1,3,2,3
117,1,3,2,3
101,1,3,2,3
119,1,3,2,3
168,2,3,1,2
135,2,3,1,2
149,2,3,1,2
149,2,3,1,2
140,2,2,1,2
138,2,2,1,2
138,2,3,1,2
141,2,2,1,2
161,2,3,1,2
109,1,3,2,3
107,1,3,2,3
